"filename", "language", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/AssisalOliveNotesComponents/JumpingScrollingDotsAnimation.tsx", "TypeScript JSX", 0, 105, 0, 4, 109
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/AssisalOliveNotesScreens/AssisalOliveNotesLoading.tsx", "TypeScript JSX", 0, 78, 0, 10, 88
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/AssisalOliveNotesScreens/AssisalOliveNotesOnboarding.tsx", "TypeScript JSX", 0, 82, 1, 7, 90
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/AssisalOliveNotesScreens/OliassisalAppWrap.tsx", "TypeScript JSX", 0, 167, 3, 12, 182
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/AssisalOliveNotesScreens/LiviaPlaceCard.tsx", "TypeScript JSX", 0, 59, 5, 7, 71
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/AssisalOliveNotesScreens/NoteslioveMap.tsx", "TypeScript JSX", 0, 66, 4, 6, 76
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/AssisalOliveNotesScreens/OliveAssinoalRecomPlaces.tsx", "TypeScript JSX", 0, 99, 10, 10, 119
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/AssisalOliveNotesScreens/OliveAssisGreetPageForUser.tsx", "TypeScript JSX", 0, 87, 12, 12, 111
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/AssisalOliveNotesScreens/OpenedAssisalOliCard.tsx", "TypeScript JSX", 0, 129, 10, 17, 156
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/StaticDataAssiOlve/FactsFromLivia.js", "JavaScript", 32, 0, 0, 0, 32
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/StaticDataAssiOlve/assistaNoteRecoplaces.js", "JavaScript", 107, 0, 0, 1, 108
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/StaticDataAssiOlve/candyBakeSweetObnodr.js", "JavaScript", 6, 0, 0, 0, 6
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/assets.js", "JavaScript", 6, 0, 5, 2, 13
"/Users/user/Documents/ReactNative/AssisalOliveNotes/AssisalOliveNotesSrc/olanosiFonts.js", "JavaScript", 9, 0, 0, 0, 9
"Total", "-", 160, 872, 50, 88, 1170